Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Materials,Ceiling Height,Coverage,Improvement Ratio,Land Area AC,Land Area SF,Listing Broker Street Number,Listing Broker Street Post-Direction,Market Time,Number Of Floors,Number Of Parking Spaces,Number Of Tenants,Parking Ratio,Percent Office,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property County,Property State,Property Zip Code,PropertyType,Sale Date,Sale Price,Sale Status,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Size,Star Rating,Submarket Code,Submarket Name,Tenancy,Total Expense Amount,Typ Flr (SF),Vacancy,Year Built
11,,1017650,82350,1100000,2016,10000,B,Metal,"14'0""",0.355378656,92,0.65,28139,,,,1,25,1,2.5,,,,,,,,,,,,Bexar,TX,78109,Industrial,12/19/2016,,Sold,,,,Warehouse,,,,,10000,2 Star,S06,Northeast,Multi,29966.15,10000,20,2006
75,195000,149720,35300,185020,2016,6394,C,Wood Frame,"12'0""-18'0""",0.48003003,80,0.31,13320,10103,,604,1,16,,5.29,26.587426,Y,,,,,,,,,,Bexar,TX,78207,Industrial,12/28/2016,,Sold,,,,,,,,,6394,1 Star,S07,Northwest,Multi,5222.01,6394,,1942
33,500000,353790,46210,400000,2015,10206,C,Metal,"20'0""",0.2169458379,88,0.54,23522,6600,,549,2,15,,1.47,49.480698,,,,,,,,,,,Bexar,TX,78238,Industrial,3/21/2016,,Sold,,,,Warehouse,,,,,10206,2 Star,S07,Northwest,Multi,12500.9,5103,,1984
34,,723910,144400,868310,2015,14800,C,Metal,,0.5364262414,83,0.63,27590,,,,1,20,1,1.62,,,,,,,,,,,,Bexar,TX,78233,Industrial,6/17/2016,,Sold,,,,Warehouse,,,,,14800,2 Star,S06,Northeast,Multi,,14800,,1983
60,1599000,734010,321610,1055620,2015,28984,C,Masonry,,0.4265301017,69,1.56,67953,,,157,1,35,,1.21,,,,,,,,,,,,Bexar,TX,78202,Industrial,8/4/2016,,Sold,,,,Warehouse,,,,,28984,2 Star,S06,Northeast,Multi,30245.46,28984,,1957
47,,92040,36000,128040,2015,4018,C,Masonry,,0.4464940549,71,0.21,8999,,,,1,15,1,4.24,10.004978,,,,,,,,,,,Bexar,TX,78211,Industrial,8/23/2016,,Sold,,,,Showroom,5403 S Zarzamora St,San Antonio,Acuna III Furniture Inc,Yolanda Perez,4018,1 Star,S08,South,Single,4384.79,4018,,1970
45,2500000,,,,,19000,C,Metal,,0.0872359963,,5,217800,100,,146,1,20,1,1.05,17,,,,,,,,,,,Bexar,TX,78222,Industrial,10/31/2016,,Sold,,,,Showroom,,,,,19000,2 Star,S08,South,Single,24019.85,19000,,1972
55,,182020,25610,207630,2016,6664,C,Masonry,,0.4580383532,87,0.33,14549,,,,1,17,,2.69,30.012005,,,,,,,,,,,Bexar,TX,78208,Industrial,1/2/2017,,Sold,,,,Distribution,,,,,6664,1 Star,S06,Northeast,Single,,6664,,1962
50,,178560,71410,249970,2014,11919,C,Reinforced Concrete,,0.5007772783,71,0.55,23801,,,,1,22,1,1.85,,,,,,,,,,,,Bexar,TX,78212,Industrial,7/1/2015,,Sold,,,,Warehouse,,,,,11919,2 Star,S05,North Central,Multi,7415.85,11919,,1967
50,,178560,71410,249970,2014,11919,C,Reinforced Concrete,,0.5007772783,71,0.55,23801,,,,1,22,1,1.85,,,,,,,,,,,,Bexar,TX,78212,Industrial,7/1/2015,,Sold,,,,Warehouse,,,,,11919,2 Star,S05,North Central,Multi,7415.85,11919,,1967
45,,249904,31690,281594,2014,17575,C,Reinforced Concrete,,0.360239408,88,1.12,48787,,,,1,20,1,1.14,,,,,,,,,,,,Bexar,TX,78204,Industrial,5/21/2015,,Sold,,,,Manufacturing,,,,,17575,2 Star,S01,CBD,Multi,9630.37,17575,,1972
52,,96120,796640,892760,2015,22061,C,Masonry,,0.664728215,10,0.76,33188,,,,1,12,2,,,,,,,,,,,,,Bexar,TX,78215,Industrial,5/23/2016,,Sold,,,,Manufacturing,902 Avenue B,San Antonio,James G McCormick,James McCormick,22061,2 Star,S01,CBD,Single,33868.86,22061,,1965
30,,0,2466540,2466540,2015,11475,C,Metal,,0.0805596703,0,3.27,142441,,,,1,25,,4.39,45.620915,,,,,,,,,,,Bexar,TX,78233,Industrial,5/23/2016,,Sold,,,,Warehouse,,,Antonio Leano Reyes,Antonio Reyes,11475,2 Star,S06,Northeast,Single,34754.79,11475,,1987
5,,0,5332935,5332935,2015,96000,B,Reinforced Concrete,,0.0312789269,0,70.46,3069159,,,,1,80,,,,,,,,,,,,,,Guadalupe,TX,78154,Industrial,7/1/2016,,Sold,,,,Warehouse,,,Us R & E Lp,,96000,3 Star,S12,Guadalupe County,Single,,96000,,2012
24,,703670,426880,1130550,2016,19645,B,Masonry,,0.276682347,62,1.63,71002,,,,1,,1,,,,,,,,,,,,,Bexar,TX,78249,Industrial,9/20/2016,,Sold,,,,,,,,,19645,2 Star,S07,Northwest,Single,30358.72,19645,,1993
24,,403480,52270,455750,2016,7600,C,Metal,,0.2326293235,88,0.75,32670,,,,1,30,1,3.95,,,,,,,,,,,,Bexar,TX,78219,Industrial,11/4/2016,,Sold,Private Individual Fas Fiancial Inc,,,Manufacturing,,,,,7600,2 Star,S06,Northeast,Multi,,7600,,1993
53,,29520,58290,87810,2016,2665,C,Masonry,,0.1902484295,33,0.32,14008,,,,1,9,1,3.38,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/5/2016,,Sold,,,,Service,,,,,2665,1 Star,S05,North Central,Single,4134.37,2665,,1964
72,,62340,26140,88480,2014,4257,C,Wood Frame,,0.2443181818,70,0.4,17424,,,,1,2,,,,,,,,,,,,,,Bexar,TX,78221,Industrial,5/28/2015,,Sold,,,,Warehouse,,,,,4257,1 Star,S08,South,Single,3359.05,4257,,1945
26,,358217,98711,456928,2015,15492,C,Metal,,0.1778236915,78,2,87120,,,,1,16,1,1.03,,,,,,,,,,,,Guadalupe,TX,78154,Industrial,9/23/2015,,Sold,,,,Distribution,,,,,15492,2 Star,S12,Guadalupe County,Multi,9511.41,15492,,1991
15,,406360,74490,480850,2015,21300,B,,,0.1796407186,84,2.72,118570,,,,1,80,,3.76,,,,,,,,,,,,Bexar,TX,78023,Industrial,9/29/2015,,Sold,,,,Warehouse,,,,,21300,2 Star,S04,Far Northwest,Single,10728.63,21300,,2002
52,,272370,179230,451600,2015,23227,C,Masonry,,0.1464889819,60,3.64,158558,,,,1,18,1,0.77,,,,,,,,,,,,Bexar,TX,78219,Industrial,11/5/2015,,Sold,,,,Service,,,,,23227,2 Star,S06,Northeast,Multi,12184.37,23227,,1965
33,,2350800,219200,2570000,2015,69700,B,Masonry,"19'3""",0.4547026167,91,3.52,153287,,,,1,75,1,1.17,,Y,,,,,,,,,,Bexar,TX,78244,Industrial,2/10/2016,,Sold,,,,Manufacturing,907 Eventide Dr,San Antonio,Warrilow Janice M & Leonard J,Janice Warrilow,69700,3 Star,S06,Northeast,Single,93637.73,69700,,1984
47,,,,,,83000,B,Masonry,"12'0""-16'0""",0.2494005373,,7.64,332798,,,,1,145,,2.36,3.614458,,,,,,,,,,,Bexar,TX,78223,Industrial,10/6/2015,,Sold,,,,Warehouse,1321 Lake Shore Dr,Sarasota,W M C Trust,Linda Winn,83000,3 Star,S08,South,Multi,34383.62,83000,,1970
42,,3155410,244590,3400000,2015,131755,B,Masonry,"21'0""-22'0""",0.608711521,92,4.97,216449,8200,,1008,1,,1,2,,,,,,,,,,,5.69,Bexar,TX,78219,Industrial,3/31/2016,,Sold,,,,Distribution,,Houston,U.S. Investments,Mark Nordquist,131755,3 Star,S06,Northeast,Single,102868.76,131755,,1975
38,,221210,32180,253390,2014,6300,C,Metal,"12'0""",0.2858309514,87,0.51,22041,,,,1,10,3,1.58,,,,,,,,,,,,Bexar,TX,78238,Industrial,9/4/2015,,Sold,,,,Warehouse,,,,,6300,1 Star,S07,Northwest,Multi,9054.22,6300,,1979
21,,491590,88410,580000,,16280,C,Metal,"16'0""-18'0""",0.2768424991,84,1.35,58806,,,,1,25,,1.53,24.570025,,,,,,,,,,,Bexar,TX,78023,Industrial,5/26/2015,,Sold,,,,,,,,,16280,2 Star,S04,Far Northwest,Single,17621.65,16280,,1996
59,,287530,72650,360180,2014,21900,C,Metal,,0.9043981004,79,0.56,24215,1603,,,1,,2,,,,,,,,,,,,,Bexar,TX,78201,Industrial,4/20/2015,,Sold,,,,Warehouse,,,,,21900,2 Star,S05,North Central,Multi,10505.92,21900,,1958
35,,311790,156820,468610,2014,9500,C,Masonry,,0.0726966636,66,3,130680,,,,1,36,1,3.79,,,,,,,,,,,,Bexar,TX,78219,Industrial,6/11/2015,,Sold,,,,Service,,,,,9500,2 Star,S06,Northeast,Multi,13708.77,9500,,1982
61,,152690,71660,224350,2015,7315,C,Metal,,0.1679292929,68,1,43560,,,,1,20,,2.73,,,,,,,,,,,,Bexar,TX,78211,Industrial,2/10/2016,,Sold,,,,Warehouse,,,,,7315,1 Star,S08,South,Single,5704.8,7315,,1956
23,,369790,580910,950700,2015,10200,C,Masonry,,0.0669027942,38,3.5,152460,,,,1,50,2,4.05,,,,,,,,,,,,Bexar,TX,78216,Industrial,5/31/2016,,Sold,Private Individual Fas Fiancial Inc,,,Warehouse,,,,,10200,2 Star,S05,North Central,Single,31258.12,10200,,1994
11,1050000,693700,288320,982020,2015,14000,C,,,0.062650473,70,5.13,223462,611,,169,1,,,,,,,,,,,,,,,Bexar,TX,78023,Industrial,6/2/2016,,Sold,,,,Warehouse,"5080 Spectrum Dr, 400E",Addison,Wells Fargo Home Mortgage,,14000,2 Star,S04,Far Northwest,Single,26202.4,14000,,2006
9,,0,1192360,1192360,2015,130707,B,Masonry,"32'0""",0.122474279,0,24.5,1067220,,,,1,100,3,,,,,,,,,,,,,Bexar,TX,78247,Industrial,8/16/2016,,Sold,,,,Warehouse,"17303 Green Mountain Rd, 100",San Antonio,Green Mountain Properties,Mike Dolan,130707,5 Star,S05,North Central,Multi,,130707,,2008
34,,973510,76490,1050000,2016,15200,C,Metal,,0.283698533,92,1.23,53578,,,,1,30,1,1.97,,,,,,,,,,,,Bexar,TX,78109,Industrial,9/22/2016,,Sold,,,,Service,,,,,15200,2 Star,S06,Northeast,Multi,28604.05,15200,,1983
52,615000,357150,98480,455630,2016,32656,C,Metal,"16'0""",0.5170197271,78,1.45,63162,10103,,417,1,10,,0.31,16.000122,N,,,,,,,,,,Bexar,TX,78220,Industrial,9/23/2016,,Sold,,,,Manufacturing,1566 Miles St,Houston,RackExpress,Stanley Katz,32656,2 Star,S06,Northeast,Multi,12859.72,32656,,1965
45,,1700,29340,31040,2015,4400,C,Masonry,,0.6990784874,5,0.14,6294,,,,1,10,1,2.39,,,,,,,,,,,,Bexar,TX,78202,Industrial,10/28/2015,,Sold,,,,Service,,,,,4400,1 Star,S06,Northeast,Multi,4451.23,4400,,1972
13,,91890,16140,108030,2015,2000,C,,,0.1858908821,85,0.25,10759,,,,1,,,,,,,,,,,,,,,Bexar,TX,78221,Industrial,3/10/2016,,Sold,,,,Warehouse,,,,,2000,1 Star,S08,South,,7069.1,2000,,2004
43,,1766610,128390,1895000,2015,38978,C,Masonry,,0.3734311828,93,2.4,104378,,,,1,40,,1.02,10,,,,,,,,,,,Bexar,TX,78219,Industrial,12/29/2015,,Sold,Texas Capital Bank N.A.,,,Warehouse,4311 Director Dr,San Antonio,Improved Piping Products Inc,Duncan Schlicht,38978,3 Star,S06,Northeast,Multi,51127.95,38978,,1974
62,,190550,65450,256000,,6600,C,Metal,,0.6060606061,74,0.25,10890,,,,1,11,1,1.67,40,,,,,,,,,,,Bexar,TX,78212,Industrial,3/9/2015,,Sold,,,,Service,,,,,6600,1 Star,S05,North Central,Single,9885.91,6600,,1955
21,,294400,291550,585950,2014,7242,C,Metal,,0.0280833737,50,5.92,257875,,,,1,20,2,2.76,,,,,,,,,,,,Bexar,TX,78219,Industrial,6/22/2015,,Sold,,,,Truck Terminal,711 Ridgemont Ave,San Antonio,John M III & Rebecca Canavan,,7242,1 Star,S06,Northeast,Multi,15946.79,7242,,1996
15,,320523,74490,395013,,21300,B,,,0.1796407186,81,2.72,118570,,,,1,80,,3.76,,,,,,,,,,,,Bexar,TX,78023,Industrial,4/27/2015,,Sold,,,,Warehouse,,,,,21300,2 Star,S04,Far Northwest,Single,10728.63,21300,,2002
11,,693700,288320,982020,2015,14000,C,,,0.062650473,70,5.13,223462,,,,1,,,,,,,,,,,,,,,Bexar,TX,78023,Industrial,9/1/2015,,Sold,,,,Warehouse,,,,,14000,2 Star,S04,Far Northwest,Single,21910.64,14000,,2006
57,350000,167290,58490,225780,2015,3864,C,Metal,"14'0""-16'0""",1.98E-05,74,4476,194974560,10103,,147,1,10,,2,22.360248,,,,,,,,,,,Bexar,TX,78227,Industrial,12/10/2015,,Sold,,,,Service,,,,,3864,1 Star,S10,Far West,Single,6075.62,3864,,1960
67,,409230,102550,511780,2015,23114,C,Masonry,,0.8789595771,79,0.6,26297,,,,1,10,2,0.43,,,,,,,,,,,,Bexar,TX,78204,Industrial,12/9/2015,,Sold,,,,Showroom,111 Binham Heights,San Antonio,Mark Klein,Mark Klein,23114,2 Star,S01,CBD,Multi,13808.05,23114,,1950
34,,441560,52070,493630,2015,14800,C,Metal,,0.3752160885,89,0.8,34708,,,,2,20,2,1.41,27.027027,N,,,,,,,,,,Bexar,TX,78109,Industrial,2/11/2016,,Sold,,,,Warehouse,12107 Woodsrim St,Live Oak,Mark Stewart,Mark Stewart,14800,2 Star,S06,Northeast,Multi,20923.45,13023,,1983
8,,451029,148970,599999,2015,9250,B,,"11'0""-22'0""",0.0420496595,75,5.05,219978,,,,1,14,1,1.51,16.216216,,,,,,,,,,,Guadalupe,TX,78124,Industrial,11/23/2015,,Sold,,,,Warehouse,2023 Elm Creek Rd,Seguin,Benjamin F & Lynda J Day Jr,Benjamin Day,9250,2 Star,S12,Guadalupe County,Single,17763.07,9250,,2009
45,,543200,65340,608540,2015,9708,C,Metal,"14'0""",0.2228650138,89,1,43560,2001,,14,1,37,1,3.81,54.037907,Y,,,,,,,,,,Bexar,TX,78219,Industrial,4/27/2016,,Sold,,,,Service,,,,,9708,2 Star,S06,Northeast,Multi,22940.23,9708,,1972
37,,1292670,287330,1580000,2015,71934,C,Masonry,"24'0""",0.1876565239,81,8.8,383328,,,,1,24,1,0.76,6,,,,,,,,,,,Bexar,TX,78219,Industrial,8/26/2016,,Sold,,,,Warehouse,,,,,71934,3 Star,S08,South,Multi,52637.85,71934,,1980
42,,170220,27900,198120,2015,5700,C,Masonry,,0.1612903226,85,0.43,18600,,,,2,12,,2.11,,,,,,,,,,,,Bexar,TX,78219,Industrial,12/2/2015,,Sold,,,,Manufacturing,,,,,5700,1 Star,S06,Northeast,Multi,5345.37,3000,,1975
36,,496760,153090,649850,2015,10000,C,Metal,,0.0981065437,76,2.34,101930,,,,1,90,1,9,,,,,,,,,,,,Bexar,TX,78219,Industrial,10/21/2015,,Sold,,,,Service,5845 Winding Rdg,San Antonio,Clinton C & Robbie Sue Storbeck,Clinton Storbeck,10000,2 Star,S06,Northeast,Single,17533.24,10000,,1981
44,,390860,134920,525780,2014,7600,C,Masonry,,0.0958639741,74,1.82,79279,,,,1,50,,6.58,,,,,,,,,,,,Bexar,TX,78211,Industrial,7/27/2015,,Sold,,,,,,,,,7600,2 Star,S08,South,Multi,,7600,,1973
50,,178560,71410,249970,2014,11919,C,Reinforced Concrete,,0.5007772783,71,0.55,23801,,,,1,22,1,1.85,,,,,,,,,,,,Bexar,TX,78212,Industrial,7/1/2015,,Sold,,,,Warehouse,,,,,11919,2 Star,S05,North Central,Multi,7415.85,11919,,1967
38,,454380,81310,535690,2014,17272,C,Metal,,0.1423227146,84,2.79,121358,,,,1,25,1,1.45,,,,,,,,,,,,Bexar,TX,78220,Industrial,6/5/2015,,Sold,,,,Warehouse,,,,,17272,2 Star,S08,South,Single,17590.71,17272,,1979
91,,123010,135100,258110,2014,14500,B,Reinforced Concrete,"14'0""-16'0""",0.4292989105,47,0.39,16888,,,,2,20,,1.25,,Y,,,,,,,,,,Bexar,TX,78204,Industrial,5/14/2015,,Sold,,,,Warehouse,,,,,14500,2 Star,S01,CBD,Single,,7250,,1926
47,,0,0,125640,2010,3800,C,Metal,,0.2055709734,0,0.45,19458,,,,2,20,1,5.26,,,,,,,,,,,,Bexar,TX,78203,Industrial,7/10/2015,,Sold,,,,Warehouse,,,,,3800,1 Star,S06,Northeast,Single,,4000,,1970
25,,827841,89709,917550,2014,10000,C,Metal,,0.0683242121,90,3.36,146361,,,,1,35,1,3.5,,,,,,,,,,,,Guadalupe,TX,78154,Industrial,7/16/2015,,Sold,,,,Manufacturing,600 Oak Brook Dr,New Braunfels,Rebo Enterprises Ltd,Diane Bornmann,10000,2 Star,S12,Guadalupe County,Multi,,10000,,1992
49,,69310,108430,177740,2015,5670,C,Metal,,0.1495489793,38,0.87,37914,,,,1,,,,,,,,,,,,,,,Bexar,TX,78204,Industrial,9/23/2015,,Sold,,,,Warehouse,,,,,5670,1 Star,S01,CBD,Multi,4795.51,5670,,1968
62,,262910,28620,291530,2015,11929,C,Metal,,0.554373083,90,0.49,21518,,,,1,52,1,4.36,,,,,,,,,,,,Bexar,TX,78207,Industrial,12/31/2015,,Sold,,,,Warehouse,,,,,11929,1 Star,S07,Northwest,Single,7865.61,11929,,1955
42,800000,586380,138590,724970,2015,15640,C,Masonry,"12'0""-20'0""",0.3633744569,80,0.99,43041,,,336,1,8,,1.15,,Y,,,,,,,,,,Bexar,TX,78238,Industrial,1/7/2016,,Sold,,,,Warehouse,5423 Jackwood Dr,San Antonio,Texas Scenic Company Inc,Richard Mecke,15640,2 Star,S07,Northwest,Multi,20769.49,15640,,1975
52,,149190,59050,208240,2015,3520,C,Masonry,,0.2980777373,71,0.27,11809,,,,1,8,1,2.27,,,,,,,,,,,,Bexar,TX,78216,Industrial,1/12/2016,,Sold,,,,Service,,,,,3520,1 Star,S05,North Central,Single,6795.76,3520,,1965
12,,224760,60110,284870,2015,4160,B,Metal,"14'0""-16'0""",0.0955004591,78,1,43560,,,,1,8,1,1.92,12.019231,,,,,,,,,,,Bexar,TX,78219,Industrial,3/11/2016,,Sold,,,,Warehouse,,,,,4160,1 Star,S06,Northeast,Single,10374.03,4160,,2005
45,,543200,65340,608540,2015,9708,C,Metal,"14'0""",0.2228650138,89,1,43560,,,144,1,37,1,3.81,54.037907,Y,,,,,,,,,,Bexar,TX,78219,Industrial,3/21/2016,,Sold,,,,Service,8007 NE Loop 410,San Antonio,Ronald C & Irene Dausin,Ronald Dausin,9708,2 Star,S06,Northeast,Multi,22940.23,9708,,1972
34,,375370,89630,465000,2015,10200,C,Masonry,,0.4415775575,80,0.53,23099,,,,1,18,1,1.86,,,,,,,,,,,,Bexar,TX,78216,Industrial,3/18/2016,,Sold,,,,Service,,,,,10200,2 Star,S05,North Central,Multi,13339.28,10200,,1983
,,84160,25080,109240,2015,1440,B,,,0.026986001,77,1.23,53361,,,,1,,,,,,,,,,,,,,,Bexar,TX,78109,Industrial,6/7/2016,,Sold,,,,,,,,,1440,1 Star,S08,South,Single,3529.42,1440,,
57,,117650,15630,133280,2015,3948,C,Masonry,,0.3472673789,88,0.15,6459,,,,2,12,,3.04,,,,,,,,,,,,Bexar,TX,78204,Industrial,6/24/2016,,Sold,,,,Warehouse,,,,,3948,1 Star,S08,South,Multi,3742.51,2243,,1960
32,,351400,73220,424620,2015,15000,,,,0.2152203857,82,1.6,69696,,,,1,,,,,,,,,,,,,,,Bexar,TX,78217,Industrial,7/25/2016,,Sold,,,,Warehouse,,,,,15000,,S06,Northeast,Multi,,15000,,1985
33,750000,,,,,8133,C,Masonry,"16'0""",0.3202598937,,0.58,25395,9311,,175,1,8,,0.98,,,,,,,,,,,,Bexar,TX,78217,Industrial,8/17/2016,,Sold,,,,Warehouse,,,,,8133,2 Star,S06,Northeast,Multi,13038.28,8133,,1984
45,,620920,304770,925690,,19000,C,Metal,,0.0872359963,67,5,217800,,,,1,20,1,1.05,17,,,,,,,,,,,Bexar,TX,78222,Industrial,10/25/2016,,Sold,,,,Showroom,,,,,19000,2 Star,S08,South,Single,24019.85,19000,,1972
42,,782600,282400,1065000,2016,16670,C,Metal,,0.1393125465,73,2.75,119659,,,,1,17,1,0.68,,,,,,,,,,,,Bexar,TX,78217,Industrial,12/1/2016,,Sold,,,,Truck Terminal,,,,,16670,2 Star,S06,Northeast,Multi,28699.67,16670,,1975
57,,248790,2151210,2400000,2016,39600,B,,,0.303030303,10,3,130680,,,,1,24,5,,,,,,,,,,,,,Bexar,TX,78204,Industrial,12/15/2016,,Sold,,,,Service,,,,,39600,1 Star,S01,CBD,Multi,,39600,85.77,1960
54,,1658280,341720,2000000,2016,45500,B,Reinforced Concrete,"25'0""-27'0""",0.4352234466,82,2.4,104544,,,,1,75,1,1.73,13.406593,Y,,,,,,,,,,Bexar,TX,78207,Industrial,1/19/2017,,Sold,,,,Warehouse,4328 Marsh Ridge Rd,Carrollton,CROSS Development,Steve Rumsey,45500,2 Star,S05,North Central,Single,,45500,,1963
32,,475510,32650,508160,2015,6187,C,Masonry,"18'0""",0.3789660664,93,0.37,16326,,,,1,11,,1.87,55,,,,,,,,,,,Bexar,TX,78218,Industrial,7/11/2016,,Sold,,,,Warehouse,,,,,6187,1 Star,S06,Northeast,Multi,14043.98,6187,,1985
12,990000,418717,105532,524249,2015,8040,B,Metal,,0.0924765071,79,2,86941,,,72,1,16,,1.99,31.343284,,,,,,,,,,,Guadalupe,TX,78154,Industrial,12/18/2015,,Sold,,,,Service,907 E Zipp Rd,New Braunfels,Ronald R Kuntz & Suzanne M,Ronald Kuntz,8040,2 Star,S12,Guadalupe County,Single,10912.77,8040,,2005
52,,327320,138590,465910,2014,4000,C,Masonry,"18'0""",0.3093102382,70,0.3,12932,,,,1,7,1,1.75,,,,,,,,,,,,Bexar,TX,78216,Industrial,5/26/2015,,Sold,,,,Service,,,,,4000,1 Star,S05,North Central,Multi,5646.29,4000,,1965
31,,1359250,215750,1575000,2015,29450,B,Reinforced Concrete,,0.2156551743,86,1.65,71874,,,,2,42,,1.43,,,,,,,,,,,,Bexar,TX,78240,Industrial,12/14/2015,,Sold,,,,Manufacturing,4918 Golden Quail,San Antonio,Donosti Of Texas Inc,Federico Toca,29450,2 Star,S07,Northwest,Single,42382.38,15500,,1986
38,,56680,51310,107990,2015,3040,C,Metal,,0.1184908014,52,0.59,25656,,,,1,7,,2.3,,,,,,,,,,,,Bexar,TX,78217,Industrial,4/4/2016,,Sold,,,,Service,,,,,3040,1 Star,S05,North Central,Multi,3889.14,3040,,1979
25,,244530,39870,284400,2015,800,C,,,0.0026861953,85,6.84,297819,,,,1,,,,,,,,,,,,,,,Bexar,TX,78109,Industrial,6/7/2016,,Sold,,,,Warehouse,,,,,800,1 Star,S08,South,Single,,800,,1992
52,675000,132500,52500,185000,,8184,C,Metal,,0.4677105955,71,0.4,17498,,,208,1,10,1,1.22,24.437928,,,,,,,,,,,Bexar,TX,78217,Industrial,5/13/2015,,Sold,,,,,,,,,8184,2 Star,S05,North Central,Multi,8000.2,8184,,1965
22,,471980,66910,538890,2014,10500,C,,,0.2353996189,87,1.02,44605,18503,,,1,,1,,,,,,,,,,,,,Bexar,TX,78023,Industrial,7/28/2015,,Sold,,,,Warehouse,,Lubbock,Jimmy & Terri H Shankle,Jimmy Shankle,10500,2 Star,S04,Far Northwest,Single,18897.7,10500,,1995
33,,114010,78280,192290,2015,3392,B,,,0.4333716622,59,0.18,7827,,,,1,,,,,,,,,,,,,,,Bexar,TX,78201,Industrial,4/21/2016,,Sold,,,,Manufacturing,,,,,3392,1 Star,S07,Northwest,Single,6366.5,3392,,1984
53,,112900,128330,241230,2016,2665,C,Masonry,,0.1902484295,46,0.32,14008,,,,1,9,1,3.38,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/5/2016,,Sold,,,,Service,,,,,2665,1 Star,S05,North Central,Single,4134.37,2665,,1964
13,,,,,,4900,C,,"18'0""",0.0157547152,,7.14,311018,200,,449,1,,,,30.612245,,,,,,,,,,,Bexar,TX,78109,Industrial,2/16/2017,,Sold,,,,Warehouse,,,,,4900,1 Star,S06,Northeast,Single,,4900,,2004
33,,275130,39600,314730,2015,8400,C,Metal,,0.5833333333,87,0.33,14400,,,,1,8,1,1,,,,,,,,,,,,Bexar,TX,78233,Industrial,11/23/2015,,Sold,,,,Warehouse,,,,,8400,2 Star,S06,Northeast,Multi,8593.53,8400,,1984
33,3950000,1849910,500090,2350000,2015,70416,B,Masonry,"17'0""-19'0""",0.2971565541,78,5.44,236966,8023,,280,1,80,,1.18,10.185185,,,,,,,,,,,Bexar,TX,78257,Industrial,11/16/2015,,Sold,American Bank of Texas,,,Manufacturing,41 Westlem Cir,San Antonio,"ILF Properties G.P., LLC",Ian Fisher,70416,3 Star,S04,Far Northwest,Single,63237.21,70416,,1984
18,,2496770,214790,2711560,2016,49170,C,Masonry,,0.3839426546,92,2.94,128066,,,,1,40,1,0.81,,,,,,,,,,,,Bexar,TX,78219,Industrial,12/21/2016,,Sold,,,,Warehouse,,,,,49170,3 Star,S08,South,Single,76531.21,49170,,1999
10,,169900,173650,343550,2015,3180,B,Metal,"14'6""-16'5""",0.0289693999,49,2.52,109771,7373,,16,1,25,,7.86,,,,,,,,,,,,Bexar,TX,78217,Industrial,12/7/2015,,Sold,,,,Warehouse,2705 Colonial Pky,Fort Worth,Clifton H Morris III,Clifton Morris,3180,1 Star,S05,North Central,Single,9380.44,3180,,2007
3,,628090,53800,681890,2015,4900,B,,,0.0224977043,92,5,217800,,,,1,,,,,,,,,,,,,,,Bexar,TX,78263,Industrial,10/19/2015,,Sold,,,,Warehouse,5122 Stormy Dawn,San Antonio,Richard Moody,Richard Moody,4900,1 Star,S08,South,Single,,4900,,2014
